City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
66,Port Hardy,50.6996,-127.4199,53.78,100,75,2.3,CA,2022-06-29 11:50:14
67,Baykit,61.67,96.37,64.81,63,77,8.9,RU,2022-06-29 11:50:14
68,Mahebourg,-20.4081,57.7,73.69,49,75,12.66,MU,2022-06-29 11:50:15
69,Vyshchetarasivka,47.5685,34.881,87.08,44,10,13.09,UA,2022-06-29 11:50:15
70,Thoen,17.6129,99.2161,81.84,81,100,1.23,TH,2022-06-29 11:50:15
71,Ambon,-3.6954,128.1814,78.24,15,40,0.0,ID,2022-06-29 11:50:16
72,Katherine,-14.4667,132.2667,64.72,88,100,10.36,AU,2022-06-29 11:50:16
73,Cap Malheureux,-19.9842,57.6142,73.47,58,58,10.0,MU,2022-06-29 11:50:17
74,Bredasdorp,-34.5322,20.0403,75.76,32,1,3.85,ZA,2022-06-29 11:50:17
75,Nouadhibou,20.931,-17.0347,78.78,47,0,25.32,MR,2022-06-29 11:50:18
76,Chino Valley,34.7575,-112.4538,69.62,68,0,6.91,US,2022-06-29 11:50:18
77,Codrington,-38.2667,141.9667,48.22,69,100,7.47,AU,2022-06-29 11:50:19
78,Mar Del Plata,-38.0023,-57.5575,51.1,67,0,6.91,AR,2022-06-29 11:50:19
79,Madang,-5.2246,145.7966,78.55,84,85,4.25,PG,2022-06-29 11:50:19
80,Coromandel,-18.4733,-47.2003,66.27,51,0,2.8,BR,2022-06-29 11:50:20
81,Beringovskiy,63.05,179.3167,46.78,88,12,12.33,RU,2022-06-29 11:50:20
82,Torbay,47.6666,-52.7314,67.28,92,100,11.5,CA,2022-06-29 11:50:21
83,Chokurdakh,70.6333,147.9167,49.23,50,70,6.04,RU,2022-06-29 11:50:21
84,Saint-Philippe,-21.3585,55.7679,71.19,74,86,14.52,RE,2022-06-29 11:50:22
85,Avarua,-21.2078,-159.775,73.45,94,75,2.3,CK,2022-06-29 11:50:15
86,Najran,17.4924,44.1277,101.05,11,97,14.79,SA,2022-06-29 11:50:22
87,Lavrentiya,65.5833,-171.0,42.8,97,100,9.35,RU,2022-06-29 11:50:23
88,Doha,25.2867,51.5333,109.71,49,0,13.8,QA,2022-06-29 11:51:00
89,Puerto Ayora,-0.7393,-90.3518,69.55,92,95,10.0,EC,2022-06-29 11:51:23
90,Fort Nelson,58.8053,-122.7002,51.39,87,20,2.3,CA,2022-06-29 11:51:23
91,Imaculada,-7.3897,-37.5092,71.46,64,22,10.74,BR,2022-06-29 11:51:24
92,Lethem,3.3803,-59.7968,77.85,85,90,3.44,GY,2022-06-29 11:51:24
93,Carnarvon,-24.8667,113.6333,68.94,41,0,15.61,AU,2022-06-29 11:51:24
94,Lasa,46.6166,10.7002,73.36,78,100,2.15,IT,2022-06-29 11:51:25
95,Hilo,19.7297,-155.09,71.28,91,75,8.05,US,2022-06-29 11:50:39
96,Grand-Santi,4.25,-54.3833,72.57,99,100,0.74,GF,2022-06-29 11:51:25
97,Nelson Bay,-32.7167,152.15,57.0,92,99,3.0,AU,2022-06-29 11:51:26
98,Dikson,73.5069,80.5464,32.29,88,95,16.6,RU,2022-06-29 11:51:26
99,Taloqan,36.7361,69.5345,104.65,8,0,6.96,AF,2022-06-29 11:51:26
100,Trapani,37.8333,12.6667,93.88,74,0,18.41,IT,2022-06-29 11:51:27
101,Parabel,58.6978,81.4825,72.03,55,97,16.71,RU,2022-06-29 11:51:27
102,Anuradhapura,8.3565,80.4173,86.83,58,46,14.25,LK,2022-06-29 11:51:28
103,Pevek,69.7008,170.3133,33.17,97,100,10.56,RU,2022-06-29 11:51:28
104,Sechura,-5.5569,-80.8222,61.18,84,0,10.16,PE,2022-06-29 11:51:29
105,Bud,39.447,-86.1758,61.99,75,0,3.0,US,2022-06-29 11:51:29
106,Saint George,37.1041,-113.5841,90.19,30,0,3.44,US,2022-06-29 11:51:29
107,Somerset East,-32.7217,25.588,67.41,20,18,5.17,ZA,2022-06-29 11:51:29
108,Umm Kaddadah,13.6017,26.6876,90.09,35,100,11.97,SD,2022-06-29 11:51:30
